name,date,area,Q_cms,Ca,Mg,Na,K,Cl,SO4,NO3,X_pyrite,X_pyrite_sd,X_rain,X_rain_sd,X_fertilizer,X_fertilizer_sd
SH,2008-07-02T00:00:00Z,0.08,6.4220036834972986e-6,656.19,205.68,44.8,46.04,25.13,65.35,3.32,0.817559424584019,0.0763407152115348,0.18087659466563988,0.06758568662214692,NA,NA
SH,2008-07-03T00:00:00Z,0.08,2.029481745804398e-6,631.24,181,45.67,33.25,24,91.76,NA,0.8471149858896703,0.0829248258802349,0.14899364538554632,0.08476286659251614,NA,NA
SH,2008-07-03T00:00:00Z,0.08,2.029481745804398e-6,708.58,205.68,42.19,48.59,28.03,67.1,26.03,0.8344144503472418,0.06871615785088174,0.1677845477388644,0.06224398899865123,NA,NA
SH,2008-07-04T00:00:00Z,0.08,2.311599799864969e-6,753.49,213.9,41.76,46.04,28.67,61.38,16.67,0.8421072766793443,0.07346235254843046,0.1533937699385425,0.06129134106493237,NA,NA
SH,2008-07-05T00:00:00Z,0.08,8.170974827112268e-5,451.6,156.31,33.93,46.04,21.91,77.56,14.69,0.8257269188785349,0.08096231833203014,0.1728934358564822,0.08149814108222476,NA,NA
SH,2008-07-06T00:00:00Z,0.08,6.3384130787037035e-6,536.43,181,35.67,51.15,24.83,65.2,9.05,0.8115705852400751,0.07198235036760439,0.1835762026893119,0.06411940752681133,NA,NA
SH,2008-07-07T00:00:00Z,0.08,2.576035235018004e-6,591.32,189.22,37.41,51.15,25.28,52.26,1.67,0.7838645052072734,0.07408449081836198,0.21161601275750133,0.06858392699940806,NA,NA
SH,2008-07-08T00:00:00Z,0.08,2.691775976433899e-6,631.24,201.56,38.28,51.15,27.72,41.36,NA,0.7932590279026029,0.05572379155756645,0.21042754170686293,0.0408849529063481,NA,NA
SH,2008-07-09T00:00:00Z,0.08,1.526331027671682e-5,688.62,222.13,39.58,53.71,29.39,39.35,NA,0.7514409280527483,0.02420096386303369,0.27059453677261125,0.0038926289060170014,NA,NA
SH,2008-07-10T00:00:00Z,0.08,9.732671044126158e-6,563.87,176.88,42.63,46.04,23.67,80.33,NA,0.8102585682331825,0.0735328731056876,0.184405997276649,0.07311512696303978,NA,NA
SH,2008-07-11T00:00:00Z,0.08,0,578.84,176.88,42.63,38.36,22.88,80.88,2.29,0.8364112816344763,0.08837102956445166,0.16502978885744504,0.08631144613768611,NA,NA
SH,2008-07-12T00:00:00Z,0.08,0,596.31,181,42.63,46.04,25.94,78.71,3.51,0.7976141174756601,0.09831624909535845,0.1938892413097615,0.09519406909052548,NA,NA
SH,2008-07-13T00:00:00Z,0.08,0,616.27,185.11,43.06,40.92,23.59,76.05,3.28,0.8317889347306918,0.0800390472100794,0.1631529586124395,0.07462571583938017,NA,NA
SH,2008-07-14T00:00:00Z,0.08,0,638.72,189.22,45.24,43.48,24.1,75.7,3.33,0.826157798448708,0.0927893176005225,0.1746596529487238,0.08691637481593564,NA,NA
SH,2008-07-15T00:00:00Z,0.08,0,638.72,185.11,43.5,40.92,25.82,77.19,4.25,0.8311488395203207,0.07991917630958556,0.16476429898913364,0.07521633479706485,NA,NA
SH,2008-07-16T00:00:00Z,0.08,0,658.68,193.34,44.37,40.92,24.27,72.1,3.86,0.8352598736924263,0.08084568181237954,0.1604340658625831,0.07635223028651673,NA,NA
SH,2008-07-17T00:00:00Z,0.08,0,661.18,193.34,43.93,46.04,25.29,75.38,6.05,0.8240122621679098,0.08548586039710128,0.1722263636358021,0.08311329167009629,NA,NA
SH,2008-07-18T00:00:00Z,0.08,0,663.67,197.45,45.24,46.04,23.62,63.63,4.73,0.8191232520933781,0.07047368278308187,0.1729398407431643,0.06599633543258944,NA,NA
SH,2008-07-19T00:00:00Z,0.08,0,631.24,185.11,43.06,46.04,24.67,71.45,5.72,0.8200835621605227,0.0809577975889982,0.17779752746062194,0.08189366425307124,NA,NA
SH,2008-07-20T00:00:00Z,0.08,0,666.17,197.45,43.93,51.15,25.39,65.08,3.45,0.8083553073944783,0.0714519519306061,0.18675428163564983,0.07037885345230298,NA,NA
SH,2008-07-21T00:00:00Z,0.08,0,656.19,193.34,44.37,48.59,27.2,64.47,4.63,0.7993639397058164,0.0780222374308525,0.19967013139317677,0.07603411508529646,NA,NA
SH,2008-07-22T00:00:00Z,0.08,0,668.66,197.45,43.93,48.59,27.52,62.52,4.28,0.8049980008014642,0.0719529847910306,0.18737409524988238,0.06226230751105822,NA,NA
SH,2008-07-23T00:00:00Z,0.08,0,603.79,189.22,43.06,53.71,24.69,69.8,6.94,0.8238315234760222,0.07016670296584383,0.1717738456813714,0.057748865590381344,NA,NA
SH,2008-07-24T00:00:00Z,0.08,9.850019192579733e-6,563.87,176.88,40.02,51.15,22.61,65.92,6.38,0.8303550127891092,0.06660535666300423,0.1678577750632535,0.06041253753565525,NA,NA
SH,2008-07-25T00:00:00Z,0.08,0,491.52,160.43,37.84,48.59,20.87,70.07,8.24,0.8355568640254112,0.05951883726610158,0.16471729202111393,0.05710307244044754,NA,NA
SH,2008-07-26T00:00:00Z,0.08,0,503.99,164.54,38.71,48.59,21.84,86.1,9.32,0.8368903673258428,0.08276440699285632,0.15729386786969013,0.076752275678853,NA,NA
SH,2008-07-27T00:00:00Z,0.08,0,516.47,168.65,40.45,48.59,21.85,66.13,5.14,0.825290735189243,0.07282300025059835,0.17579339878876704,0.0684357130668304,NA,NA
SH,2008-07-28T00:00:00Z,0.08,0,513.97,168.65,38.71,56.27,21.71,66.26,9,0.8076806884479759,0.07530195397957455,0.1888628460717638,0.06792940106946051,NA,NA
SH,2008-07-29T00:00:00Z,0.08,0,528.94,172.77,40.02,51.15,22.78,62.47,6.55,0.7972546162134154,0.07206681588997961,0.19601141085396606,0.06612466853344717,NA,NA
SH,2008-07-30T00:00:00Z,0.08,0,526.45,172.77,40.02,53.71,24.02,61.95,6.7,0.7846358850687546,0.0742488157788499,0.21224090584517957,0.07374326527059913,NA,NA
SH,2008-07-31T00:00:00Z,0.08,0,523.95,168.65,39.15,53.71,25.37,61.03,39.76,0.7780443496055787,0.07421800123317333,0.21709976353445842,0.07207797675632019,NA,NA
SH,2008-08-01T00:00:00Z,0.08,0,528.94,172.77,47.85,56.27,42.45,65.45,45.4,0.6266080005046745,0.10507418672604281,0.36613227032249485,0.10774579168626561,NA,NA
SH,2008-08-02T00:00:00Z,0.08,0,546.41,172.77,42.19,58.82,24.8,56.49,9.19,0.7545129452155579,0.08919588924046856,0.23696348190913888,0.08403967954592749,NA,NA
SH,2008-08-03T00:00:00Z,0.08,0,546.41,176.88,39.58,56.27,24.52,57.98,18.72,0.7840255405353987,0.08486038486318068,0.20873675699614377,0.07613774526251747,NA,NA
SH,2008-08-04T00:00:00Z,0.08,0,533.93,168.65,39.58,56.27,25.18,50.61,NA,0.743964833133679,0.08463120176154078,0.24527845746465643,0.08174154135825436,NA,NA
SH,2008-08-05T00:00:00Z,0.08,0,526.45,168.65,40.02,53.71,26.21,82.25,NA,0.8214945617921012,0.06951704818163011,0.17561823358312934,0.06557478877371284,NA,NA
SH,2008-08-06T00:00:00Z,0.08,0,558.88,172.77,47.41,61.38,27.14,49.77,NA,0.7094763901073184,0.05056388104310663,0.2839659337789006,0.049686303562566696,NA,NA
SH,2008-08-07T00:00:00Z,0.08,0,588.82,185.11,50.46,61.38,28.28,50.55,48.16,0.7104616638732066,0.05907860612773155,0.27090230675467836,0.058929010131558254,NA,NA
SH,2008-08-08T00:00:00Z,0.08,0,591.32,189.22,54.81,61.38,27.32,48.2,53.72,0.6940676113613301,0.09327724161770144,0.30631313969237184,0.07293349849865048,NA,NA
SH,2008-08-09T00:00:00Z,0.08,0,598.8,189.22,49.59,63.94,28.47,46.6,52.97,0.6559102758098658,0.03462105980836423,0.3368743801845835,0.036153394346399685,NA,NA
SH,2008-08-10T00:00:00Z,0.08,0,596.31,185.11,50.02,63.94,28.78,51.93,52.5,0.7129004633219195,0.05737649229846891,0.26920216283613274,0.0642288893737213,NA,NA
SH,2008-08-11T00:00:00Z,0.08,0,601.3,189.22,53.5,63.94,28.24,73.24,10.93,0.7681930281682084,0.07709468313099517,0.22798479264710395,0.07535347898010472,NA,NA
SH,2008-08-12T00:00:00Z,0.08,0,598.8,189.22,48.28,63.94,28.43,45.98,9.37,0.6627914901499047,0.03498424066311,0.33564618656146566,0.03601850575462214,NA,NA
SH,2008-08-13T00:00:00Z,0.08,0,606.29,193.34,51.33,63.94,37.44,47.15,9.28,0.6418606090863136,0.040365485640848915,0.3548401597818241,0.07253525846172204,NA,NA
SH,2008-08-14T00:00:00Z,0.08,0,586.33,193.34,47.85,63.94,149.65,50.19,15.89,0.3917312842208256,NA,0.6334758160823241,NA,NA,NA
SH,2008-08-15T00:00:00Z,0.08,0,596.31,197.45,47.85,63.94,143.07,53.87,13.93,0.38929169698062094,3.0953743480600134e-4,0.6364778549711252,0.01822914011157172,NA,NA
SH,2008-08-16T00:00:00Z,0.08,0,588.82,197.45,47.85,63.94,147.64,52.15,12.48,0.3857648849432365,NA,0.6022877438372968,NA,NA,NA
SH,2008-08-17T00:00:00Z,0.08,0,581.34,193.34,43.5,63.94,144.98,54.98,11.25,0.3605537893607076,2.866571853446306e-4,0.6262708170084548,0.01793361300082062,NA,NA
SH,2008-08-18T00:00:00Z,0.08,0,568.86,189.22,43.5,61.38,154.61,58.66,11.77,0.3392908988787929,0.04645652625054275,0.6546947983342821,0.06519639380031172,NA,NA
SH,2008-08-19T00:00:00Z,0.08,0,573.85,193.34,47.85,63.94,157.12,54.02,11.53,0.3465065465665641,NA,0.6840266104534939,NA,NA,NA
SH,2008-08-20T00:00:00Z,0.08,0,581.34,193.34,47.85,66.5,155.84,54.28,9.65,0.35483507000975306,NA,0.677441030773254,NA,NA,NA
SH,2008-08-21T00:00:00Z,0.08,0,576.35,185.11,48.28,66.5,34.28,66.9,32.98,0.7022649549239349,0.10439469624929705,0.29181613808406204,0.10343299407446149,NA,NA
SH,2008-08-22T00:00:00Z,0.08,0,489.02,164.54,42.63,79.28,82.2,49.94,10.33,0.48936898984228727,0.10952355087915548,0.5216751541649642,0.1150710735880948,NA,NA
SH,2008-08-28T00:00:00Z,0.08,0,563.87,185.11,49.15,69.05,35.18,55.54,152.15,0.6634558517738756,0.07455609229466283,0.3349485755224749,0.06483664474031302,NA,NA
SH,2008-08-29T00:00:00Z,0.08,0,518.96,176.88,43.93,86.96,86.23,62.91,3.17,0.45720124113235827,0.0759497394426007,0.5327855585827049,0.09628211722069309,NA,NA
SH,2008-08-30T00:00:00Z,0.08,0,553.89,185.11,43.5,84.4,88.47,58.26,3.46,0.48159328338706786,0.05017198050203574,0.5224630483630306,0.06713927812143311,NA,NA
SH,2008-08-31T00:00:00Z,0.08,0,566.37,185.11,43.93,81.84,87.87,67.64,3.71,0.42854730225011006,0.06226810731071454,0.5716844752262576,0.06945882242834409,NA,NA
SH,2008-09-01T00:00:00Z,0.08,0,561.38,185.11,44.37,84.4,90.72,50.16,1.81,0.5149951718487592,NA,0.483072632455765,NA,NA,NA
SH,2008-09-09T00:00:00Z,0.08,0,364.27,123.41,31.75,81.84,32.14,76.89,17.48,0.653223757354321,0.10544624464408707,0.3425634606855333,0.1052573350479128,NA,NA
SH,2008-09-10T00:00:00Z,0.08,0,369.26,123.41,30.88,76.73,31.43,79.41,21.76,0.6739641172527826,0.10903418088066824,0.3216755978498221,0.10595442266030985,NA,NA
SH,2008-09-11T00:00:00Z,0.08,0,376.75,123.41,29.58,74.17,32.01,76.12,6.74,0.6785725938762445,0.10452562113094621,0.3159041447186278,0.10025582519099452,NA,NA
SH,2008-09-12T00:00:00Z,0.08,1.5530960600718555e-4,286.93,102.84,29.58,63.94,13.09,32.56,2.92,0.6233713989915237,0.08054630827691046,0.3745828521727015,0.07787203772773126,NA,NA
SH,2008-09-13T00:00:00Z,0.08,2.869084359395897e-5,289.42,102.84,29.14,56.27,20.93,49.79,4.54,0.6593398498148783,0.11441320903247094,0.33836374814858355,0.11050108530807809,NA,NA
SH,2008-09-14T00:00:00Z,0.08,0,301.9,106.95,32.62,58.82,18.53,108.64,NA,0.7982505741160819,0.08828319216873952,0.19719827093890469,0.08462355939567513,NA,NA
SH,2008-09-15T00:00:00Z,0.08,0,326.85,115.18,32.19,56.27,19.36,106.87,NA,0.8118476244566438,0.08268921225201778,0.18806800528366013,0.07247897048801331,NA,NA
SH,2008-09-16T00:00:00Z,0.08,0,311.88,106.95,32.19,53.71,17.5,115.76,NA,0.8151990227217732,0.07292979413419334,0.178238304935835,0.06560505831883003,NA,NA
SH,2008-09-17T00:00:00Z,0.08,0,311.88,111.07,33.93,53.71,18.47,120.94,25.61,0.8500056246384368,0.07347070126868778,0.1640121905420977,0.06840336410196306,NA,NA
SH,2008-09-18T00:00:00Z,0.08,0,319.36,106.95,32.19,56.27,20.37,115.04,12.11,0.8003280796544818,0.08188407319895843,0.1918782181064382,0.07575479067168332,NA,NA
