site,date,Ca,Mg,Na,K,Cl,NO3,SO4,name,river,Ca_SO4,Mg_SO4,Na_SO4,K_SO4,Cl_SO4,NO3_SO4
21PA_WQX-WQN0214,2016-06-06,0.6761814461799491,0.31549063978605224,0.45237514130742246,0.046037807270392826,0.504490452147914,0.08056858503430502,0.23127316260670414,J1,JUNIATA RIVER,2.92373502640184,1.3641472111598425,1.9560209070894983,0.19906247119854228,2.181361842687448,0.3483697984072515
21PA_WQX-WQN0302,2017-10-11,0.9424621987125107,0.5027360625385723,1.6044963305198932,0.06936362962072519,1.4695512368487855,0.031235051796640184,0.5002279825109306,S6,SUSQUEHANNA RIVER,1.8840653295358516,1.005013873904159,3.2075301394896134,0.1386640332924788,2.9377629565468664,0.062441632393001247
21PA_WQX-WQN0305,2017-03-28,0.3398622685762762,0.11865871219913597,0.6008759809635321,0.035397958479013156,0.635272050320142,0.04226548723111082,0.07933479075577762,S8,SUSQUEHANNA RIVER,4.283899476365928,1.4956705761588531,7.573927847282723,0.4461845571381339,8.007483781935578,0.5327484553557331
21PA_WQX-WQN0305,2018-02-26,0.3524127950496531,0.12845093602139476,0.608792545936412,0.04186882805646281,0.6111471525681889,0.04055202153255228,0.07234020403914221,S8,SUSQUEHANNA RIVER,4.871603553384613,1.7756507287689136,8.415687431666676,0.5787767481801435,8.44823650535332,0.5605737787331949
21PA_WQX-WQN0302,2017-04-10,0.31094365986326666,0.1078378934375643,0.3577243425107925,0.03299376187711486,0.3929145629424872,0.03534023003277003,0.09452425567353737,S6,SUSQUEHANNA RIVER,3.289564754016013,1.1408489034815448,3.7844714032584506,0.3490507451448958,4.156759131746181,0.37387472433346797
21PA_WQX-WQN0201,2019-04-16,0.4765706871600379,0.20201604608105328,0.43497609741098314,0.04348015131092656,0.4792231969085831,0.074749941099616607,0.18361024359775144,S2,SUSQUEHANNA RIVER,2.595556096554703,1.1002438759551172,2.3690186826608515,0.23680678408216563,2.6100025113982905,0.4071120414358626
21PA_WQX-WQN0214,2019-05-09,0.5090074355007734,0.22670232462456283,0.2879541764860708,0.03938790177578053,0.2965813894451809,0.1061991761085766,0.1336591713512388,J1,JUNIATA RIVER,3.8082492234159413,1.696122475791944,2.1543914538371998,0.2946891064607477,2.2189378135960744,0.7945521061888007
21PA_WQX-WQN0201,2014-05-12,0.5938420080842357,0.23698827401769182,0.4162721252223109,0.035807183432527756,0.48892900459763633,0.040159352309965944,0.25566312721215906,S2,SUSQUEHANNA RIVER,2.3227518749367517,0.9269552344207613,1.6282055600331928,0.14005611142671184,1.912395463237467,0.1570791719082751
21PA_WQX-WQN0305,2018-08-20,0.48849743001147755,0.16165398066241513,0.6161001443729165,0.05631958422744723,0.6030434659972357,0.026558718327657476,0.06576306475119717,S8,SUSQUEHANNA RIVER,7.428142709887693,2.458127237135376,9.368482851336408,0.8564014533161179,9.169941642451475,0.4038546322033143
21PA_WQX-WQN0203,2015-08-13,0.698637656569689,0.3789343756428718,0.7090110387799026,0.047521247726883264,0.7234366626237553,0.026273140711231054,0.5523110555902561,S4,SUSQUEHANNA RIVER,1.2649351293956146,0.6860887027472297,1.2837169048194788,0.08604073238421274,1.3098355633142575,0.047569463702211955
21PA_WQX-WQN0302,2014-08-11,0.6587155047657068,0.26550092573544537,1.024368709402865,0.05064158799743211,1.102755761148563,0.03605417407383609,0.24015198834062043,S6,SUSQUEHANNA RIVER,2.7429108928776196,1.105553726912605,4.265501678670043,0.21087307395350163,4.591907686329315,0.15013064985620075
21PA_WQX-WQN0302,2014-01-13,0.4755726333649383,0.1897551944044435,0.645069552460488,0.058621474590966866,0.8594477195159788,0.04922644163150492,0.10097855506974807,S6,SUSQUEHANNA RIVER,4.709639913508864,1.8791632963392622,6.388183629830359,0.5805339019802348,8.511190508938652,0.4874940188785941
